Px1	Py1	Pz1	Px2	Py2	Pz2	Px3	Py3	Pz3	Px4	Py4	Pz4
1.36799	0.402658	0.87424	-0.902001	-0.59655	-0.847062	-0.059576	0.33586	0.656991	-0.451666	-0.148095	-0.692059
0.580253	-0.570293	1.2552	-0.682205	0.515483	-1.34667	-0.324354	0.0262463	0.642089	0.403682	0.0120392	-0.593894
0.340769	-0.169487	1.85334	-0.184413	-0.309764	-1.6072	0.0200629	0.0200276	0.686867	-0.186649	0.308159	-0.92407
-0.869106	0.0458882	1.24074	0.310403	0.534876	-1.36678	0.27968	-0.151179	0.694351	0.316572	-0.46811	-0.574152
-0.664701	0.42579	1.04621	0.43723	-0.3734	-1.14497	-0.0874088	0.058753	0.80734	0.317195	-0.213334	-0.737563
-0.0898092	-0.49054	1.62594	0.309682	0.749753	-1.4471	0.059437	-0.331847	0.597523	-0.247499	0.0118517	-0.750529
-0.266774	-0.56922	1.1902	0.415209	0.694849	-1.24596	-0.295878	-0.041926	0.356094	0.169339	-0.189102	-0.266683
-0.112282	-0.404372	1.60402	0.432331	0.277518	-1.53391	-0.234096	0.338899	0.746908	-0.0682489	-0.270415	-0.860117
0.75757	0.852093	1.20463	-1.0798	-0.986282	-1.19887	-0.0528259	0.316197	0.634647	0.336459	-0.264314	-0.679022
-0.505416	1.28131	0.767202	1.0343	-0.800889	-0.65617	-0.352419	-0.214434	0.686867	-0.184042	-0.251293	-0.757006
0.0449614	0.938139	1.24797	-0.851307	-0.946703	-1.19887	0.528745	0.122149	0.746908	0.273988	-0.135032	-0.840858
-0.398427	1.20648	1.02467	0.146313	-1.60601	-1.06397	-0.224526	0.303138	0.61978	0.458135	0.023276	-0.554373
-1.1429	0.422273	0.760078	0.928428	-1.22257	-0.66984	-0.0528259	0.505309	0.634647	0.293751	0.18739	-0.750529
0.537222	0.0460425	1.35656	0.186268	-0.626654	-1.38688	-0.112544	0.41768	0.649537	-0.518422	0.0452943	-0.633269
-0.603726	0.109998	1.36381	-0.311482	-0.55135	-1.17193	0.459279	0.321375	0.406798	0.466178	0.0230926	-0.633269
1.05637	0.43154	1.50918	-0.431827	-0.134092	-1.52057	-0.31345	-0.196011	0.716839	-0.288742	-0.131199	-0.718085
0.445499	1.04239	1.18299	-0.270434	-1.02867	-1.10449	0.0865127	-0.150953	0.679389	-0.224613	0.0502834	-0.744048
